,endpoint,login,confirmed,admin,skip,reset_login,reset_account,argtype,argex
0,static,FALSE,FALSE,FALSE,,,,url,filename:pears_team.png
1,serve_logos,FALSE,FALSE,FALSE,,,,url,path:README.md
2,indexer.index,TRUE,TRUE,TRUE,,,,,
3,indexer.suggest,FALSE,FALSE,FALSE,,,,,
4,indexer.example_route,,,,,,,,
5,indexer.correct_entry,TRUE,TRUE,TRUE,,,,form,"suggested_url:https://pearsproject.org/, theme:misc, note:test, accept_tos:y"
6,indexer.index_from_url,TRUE,TRUE,TRUE,,,,form,"suggested_url:https://pearsproject.org/, theme:misc, note:test, accept_tos:y"
7,indexer.index_from_manual,TRUE,TRUE,TRUE,,,,form,"title:test, description:test, accept_tos:y"
8,indexer.run_suggest_url,FALSE,FALSE,FALSE,,,,form,"suggested_url:https://pearsproject.org/, theme:misc, note:test, captcha:blablabla, captcha_answer:blablabla, accept_tos:y"
9,api.return_instance_languages,FALSE,FALSE,FALSE,,,,,
10,api.return_instance_signature,FALSE,FALSE,FALSE,,,,url,lang:en
11,api.return_query_results,FALSE,FALSE,FALSE,,,,get,q:pears
12,api.return_pods,,,,,,,,
13,api.return_pod,,,,,,,,
14,api.return_pod_delete,,,,,,,,
15,api.return_urls,,,,,,,,
16,api.return_specific_url,FALSE,FALSE,FALSE,,,,get,url:https://stackoverflow.com/questions/31554771/how-can-i-use-cookies-in-python-requests
17,api.post_suggestion,,,,,,,,
18,search.index,FALSE,FALSE,FALSE,,,,,
19,orchard.index,FALSE,FALSE,FALSE,,,,,
20,orchard.get_a_pod,FALSE,FALSE,FALSE,,,,get,pod:nonexistentpod
21,orchard.download_file,TRUE,TRUE,TRUE,,,,get,filename:nonexistentpod.pears.txt
22,orchard.rename_pod,TRUE,TRUE,TRUE,,,,get,"oldname:nonexistentpod, newname:stillnonexistentpod"
23,orchard.report,TRUE,TRUE,FALSE,,,,,
24,orchard.feedback,TRUE,TRUE,FALSE,,,,,
25,orchard.annotate,TRUE,TRUE,FALSE,,,,,
26,pages.return_faq,FALSE,FALSE,FALSE,,,,,
27,pages.return_licenses,FALSE,FALSE,FALSE,,,,,
28,pages.return_acknowledgements,FALSE,FALSE,FALSE,,,,,
29,pages.return_privacy,FALSE,FALSE,FALSE,,,,,
30,pages.return_tos,FALSE,FALSE,FALSE,,,,,
31,pages.return_contact,FALSE,FALSE,FALSE,,,,,
32,pages.return_maintenance,FALSE,FALSE,FALSE,,,,,
33,settings.index,TRUE,FALSE,FALSE,,,,,
34,settings.toggle_theme,FALSE,FALSE,FALSE,,,,get,current_page:/
35,settings.delete_url,TRUE,TRUE,TRUE,,,,get,url:http://localhost:8080/api/get?url=https://pearsproject.org/
36,settings.delete_comment,TRUE,TRUE,FALSE,,,,get,url:http://localhost:8080/api/get?url=https://pearsproject.org/
37,settings.delete_account,TRUE,FALSE,FALSE,,TRUE,TRUE,,
38,settings.change_email,TRUE,FALSE,FALSE,,,,,
39,settings.change_username,TRUE,FALSE,FALSE,,,,,
40,auth.logout,TRUE,FALSE,FALSE,,TRUE,,,
41,auth.login,FALSE,FALSE,FALSE,,,,,
42,auth.signup,FALSE,FALSE,FALSE,,,,,
43,auth.confirm_email,TRUE,FALSE,FALSE,,,,url,token:thisIsJustAFakeToken
44,auth.resend_confirmation,TRUE,FALSE,FALSE,,,,,
45,auth.password_forgotten,FALSE,FALSE,FALSE,,,,,
46,auth.password_reset,FALSE,FALSE,FALSE,,,,url,token:thisIsJustAFakeToken
47,auth.password_change,TRUE,FALSE,FALSE,,,,,
48,auth.inactive,TRUE,FALSE,FALSE,,,,,
49,admin.static,TRUE,FALSE,TRUE,TRUE,,,url,filename:pears_team.png
50,admin.index,TRUE,FALSE,TRUE,,,,,
51,pods.action_view,TRUE,FALSE,TRUE,TRUE,,,,
52,pods.ajax_lookup,TRUE,FALSE,TRUE,TRUE,,,,
53,pods.ajax_update,TRUE,FALSE,TRUE,TRUE,,,,
54,pods.create_view,TRUE,FALSE,TRUE,,,,,
55,pods.delete_view,TRUE,FALSE,TRUE,TRUE,,,,
56,pods.details_view,TRUE,FALSE,TRUE,TRUE,,,,
57,pods.edit_view,TRUE,FALSE,TRUE,TRUE,,,,
58,pods.export,TRUE,FALSE,TRUE,TRUE,,,url,export_type:csv
59,pods.index_view,TRUE,FALSE,TRUE,,,,,
60,urls.action_view,TRUE,FALSE,TRUE,TRUE,,,,
61,urls.ajax_lookup,TRUE,FALSE,TRUE,TRUE,,,,
62,urls.ajax_update,TRUE,FALSE,TRUE,TRUE,,,,
63,urls.create_view,TRUE,FALSE,TRUE,,,,,
64,urls.delete_view,TRUE,FALSE,TRUE,TRUE,,,,
65,urls.details_view,TRUE,FALSE,TRUE,TRUE,,,,
66,urls.edit_view,TRUE,FALSE,TRUE,TRUE,,,,
67,urls.export,TRUE,FALSE,TRUE,TRUE,,,url,export_type:csv
68,urls.index_view,TRUE,FALSE,TRUE,,,,,
69,user.action_view,TRUE,FALSE,TRUE,TRUE,,,,
70,user.ajax_lookup,TRUE,FALSE,TRUE,TRUE,,,,
71,user.ajax_update,TRUE,FALSE,TRUE,TRUE,,,,
72,user.create_view,TRUE,FALSE,TRUE,,,,,
73,user.delete_view,TRUE,FALSE,TRUE,TRUE,,,,
74,user.details_view,TRUE,FALSE,TRUE,TRUE,,,,
75,user.edit_view,TRUE,FALSE,TRUE,TRUE,,,,
76,user.export,TRUE,FALSE,TRUE,TRUE,,,url,export_type:csv
77,user.index_view,TRUE,FALSE,TRUE,,,,,
78,personalization.action_view,TRUE,FALSE,TRUE,TRUE,,,,
79,personalization.ajax_lookup,TRUE,FALSE,TRUE,TRUE,,,,
80,personalization.ajax_update,TRUE,FALSE,TRUE,TRUE,,,,
81,personalization.create_view,TRUE,FALSE,TRUE,,,,,
82,personalization.delete_view,TRUE,FALSE,TRUE,TRUE,,,,
83,personalization.details_view,TRUE,FALSE,TRUE,TRUE,,,,
84,personalization.edit_view,TRUE,FALSE,TRUE,TRUE,,,,
85,personalization.export,TRUE,FALSE,TRUE,TRUE,,,url,export_type:csv
86,personalization.index_view,TRUE,FALSE,TRUE,,,,,
87,suggestions.action_view,TRUE,FALSE,TRUE,TRUE,,,,
88,suggestions.ajax_lookup,TRUE,FALSE,TRUE,TRUE,,,,
89,suggestions.ajax_update,TRUE,FALSE,TRUE,TRUE,,,,
90,suggestions.create_view,TRUE,FALSE,TRUE,,,,,
91,suggestions.delete_view,TRUE,FALSE,TRUE,TRUE,,,,
92,suggestions.details_view,TRUE,FALSE,TRUE,TRUE,,,,
93,suggestions.edit_view,TRUE,FALSE,TRUE,TRUE,,,,
94,suggestions.export,TRUE,FALSE,TRUE,TRUE,,,url,export_type:csv
95,suggestions.index_view,TRUE,FALSE,TRUE,,,,,
96,serve_manifest,FALSE,FALSE,FALSE,,,,,
97,serve_sw,FALSE,FALSE,FALSE,,,,,
98,static_from_root,FALSE,FALSE,FALSE,,,,,
